epoch,avg_loss,validity_percentage
1,0.9468656280372716,0.0
2,0.7266553014139586,0.0
3,0.5841590090643002,0.0
4,0.5088031601302231,0.0
5,0.4489661685273617,11.0
6,0.3963822420639328,0.0
7,0.3599289084159875,0.0
8,0.3226881279975553,0.0
9,0.2910206119848203,0.0
10,0.26843034070503863,19.5
11,0.26418529997898055,0.0
12,0.2438418465324595,0.0
13,0.23319583829445176,0.0
14,0.22218587900264353,0.0
15,0.2176253356133835,12.0
16,0.21309110277061222,0.0
17,0.20051799092111708,0.0
18,0.19636528656075272,0.0
19,0.20027222078812273,0.0
20,0.20043578555312339,3.5000000000000004
21,0.19152270040557354,0.0
22,0.18497839928427828,0.0
23,0.18015844497499586,0.0
24,0.1842474049027962,0.0
25,0.1844264979981169,1.5
26,0.18633454887172843,0.0
27,0.1687838635112666,0.0
28,0.16992614342819287,0.0
29,0.17238091866049585,0.0
30,0.171054079657114,1.0
31,0.16919842654768424,0.0
32,0.1672484518229207,0.0
33,0.15925037078087842,0.0
34,0.16280150705877738,0.0
35,0.1500877304167687,1.0
36,0.16237638919036598,0.0
37,0.1639679012985169,0.0
38,0.15959664519074596,0.0
39,0.14781479386589194,0.0
40,0.1444813754362396,0.5
41,0.15348897610284104,0.0
42,0.14858583426928218,0.0
43,0.14914929527270643,0.0
44,0.14563991506642934,0.0
45,0.1457472380392159,1.5
46,0.1438955653317367,0.0
47,0.147961496835268,0.0
48,0.13964116158364695,0.0
49,0.1448157729604576,0.0
50,0.14253121652180636,0.0
51,0.12899219244718552,0.0
52,0.13581121816665312,0.0
53,0.134934903417207,0.0
54,0.13654492342773872,0.0
55,0.1313914997102339,0.0
56,0.12883729789453216,0.0
57,0.13522122894661337,0.0
58,0.1312405628777003,0.0
59,0.12731493802010257,0.0
60,0.12654720397689675,0.0
61,0.12656918752797042,0.0
62,0.13504769389010682,0.0
63,0.12420333129695699,0.0
64,0.12352653696567198,0.0
65,0.12569126335880423,0.0
66,0.12058312049772166,0.0
67,0.11923241888797736,0.0
68,0.12065206732176527,0.0
69,0.11606423066386694,0.0
70,0.1274056588358517,0.0
71,0.11881342577406123,0.0
72,0.12489443338370021,0.0
73,0.12440586382452445,0.0
74,0.11021525403366814,0.0
75,0.10753281857771209,0.0
76,0.10926920543365841,0.0
77,0.11719936764315714,0.0
78,0.11099701525667045,0.0
79,0.12024071897509732,0.0
80,0.12431855216810975,0.0
81,0.11698204307239267,0.0
82,0.10906191123060033,0.0
83,0.10668264386020129,0.0
84,0.1081126834018321,0.0
85,0.10645398101474665,0.0
86,0.10781159157617183,0.0
87,0.11857384575318687,0.0
88,0.10898262667882291,0.0
89,0.10134416427227515,0.0
90,0.09948511204764812,0.0
91,0.10134620851353754,0.0
92,0.10541041398161574,0.0
93,0.10520672180418726,0.0
94,0.11910370671296422,0.0
95,0.10660102939869784,0.0
96,0.10300641473901423,0.0
97,0.10573819722933105,0.0
98,0.10283635801906828,0.0
99,0.11075648175010198,0.0
100,0.10355075043213519,0.0
101,0.13878349988143654,0.0
102,0.12991610820157617,0.0
103,0.10069913520843168,0.0
104,0.09562776138699508,0.0
105,0.0963772194389301,0.0
106,0.08834635636097268,0.0
107,0.09537998044603987,0.0
108,0.08960843359745002,0.0
109,0.10318540305465082,0.0
110,0.1042790246443658,0.0
111,0.13014405522542663,0.0
112,0.09757142396101469,0.0
113,0.09110021737368801,0.0
114,0.09178247962948642,0.0
115,0.09390553629285173,0.0
116,0.09578114436774314,0.0
117,0.09328329940385456,0.0
118,0.08498950085685222,0.0
119,0.08661312553324277,0.0
120,0.0843800532195387,0.0
121,0.08444516785159896,0.0
122,0.09632880037909822,0.0
123,0.09143411486020571,0.0
124,0.08898777953242953,0.0
125,0.08167254512162903,0.0
126,0.08641166937879369,0.0
127,0.08028084030256996,0.0
128,0.08746897504676747,0.0
129,0.09075790077825135,0.0
130,0.0798279844884631,0.0
131,0.08073295794333084,0.0
132,0.08527046465609647,0.0
133,0.0841263667031934,0.0
134,0.07984467327028891,0.0
135,0.08363275305379796,0.0
136,0.09366154189728483,0.0
137,0.08509322633094425,0.0
138,0.08397218292649788,0.0
139,0.07951226816335812,0.0
140,0.08131060645550112,0.0
141,0.07720283616947222,0.0
142,0.07515762043716032,0.0
143,0.07713995480179033,0.0
144,0.07527836284871343,0.0
145,0.07827542962718613,0.5
146,0.08239523283665694,0.0
147,0.07728322482184519,0.0
148,0.07362767832377289,0.0
149,0.07378095322394673,0.0
150,0.0749443437951275,0.0
